id,year,quarter,month,period,date,pr_number,description,department,contact_person,assign_to,budget,budget_q1,budget_q2,budget_q3,budget_q4,source_method,status,supplier_details,supplier_rating,local_content_percentage,pr_approval_scope_input,approving_authority,planned,target_date,actual_project_start,sla,note,review_approval_scope_eval,floating,tender_submit_by_vendor,evaluation,award_approval,contract_and_po,pr_approval_scope_input_pd,review_approval_scope_eval_pd,floating_pd,tender_submit_by_vendor_pd,evaluation_pd,award_approval_pd,contract_and_po_pd,total_days_pd,review_approval_scope_eval_ad,floating_ad,tender_submit_by_vendor_ad,evaluation_ad,award_approval_ad,contract_and_po_ad,total_days_ad,review_approval_scope_eval_pd_sla,floating_pd_sla,tender_submit_by_vendor_pd_sla,evaluation_pd_sla,award_approval_pd_sla,contract_and_po_pd_sla,review_approval_scope_eval_ad_sla,floating_ad_sla,tender_submit_by_vendor_ad_sla,evaluation_ad_sla,award_approval_ad_sla,contract_and_po_ad_sla,review_approval_scope_eval_diff_sla,floating_diff_sla,tender_submit_by_vendor_diff_sla,evaluation_diff_sla,award_approval_diff_sla,contract_and_po_diff_sla,project_status,risk,duration,last_status_date,status_duration,status_sla,status_co,escalate_48h,ceo_escalation,detailed_description,business_justification,expected_outcomes,impact_if_delayed,special_requirements,requester_name,requester_email,requester_department,project_manager,finance_approver,technical_reviewer,supplier_name,supplier_category,supplier_country,supplier_payment_terms,supplier_delivery_time,supplier_quality_score,supplier_past_performance,currency,exchange_rate,budget_category,cost_center,tax_amount,total_cost_with_tax,priority_level,urgency,category,subcategory,tags,created_date,submitted_date,first_approval_date,final_approval_date,rejection_count,rejection_reason,last_modified_by,last_modified_date,delivery_status,expected_delivery_date,actual_delivery_date,delivery_location,milestone_1_date,milestone_2_date,completion_percentage,compliance_status,required_documents,documents_submitted,compliance_officer,regulatory_framework,audit_trail_url,contract_type,contract_duration_months,warranty_period_months,renewal_date,legal_review_status,on_time_delivery,budget_variance_percentage,quality_rating,customer_satisfaction,issues_reported
1,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0001,Security Systems,Sales,William Garcia,Team A,144764.38,28177.25,43037.61,41307.05,32242.46,Tender,In Progress,Supplier-658,C+,27.0,2024-01-05,COO,No,2024-02-06,2024-01-06,41,Project note for PR-2024-0001,6.0,8.0,26.0,14.0,3.0,6.0,6.0,6.0,8.0,26.0,14.0,3.0,6.0,63.0,7.0,15.0,34.0,15.0,8.0,9.0,88.0,9.0,19.0,15.0,9.0,11.0,8.0,9.0,9.0,21.0,12.0,6.0,4.0,-2.0,6.0,13.0,3.0,2.0,5.0,,Medium,127,2024-01-22,16,31,No,Yes,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0073,Office Supplies,IT,Jennifer Martinez,Team B,438838.47,83443.1,70883.6,68728.34,215783.44,Spot Buy,Completed,Supplier-151,C+,93.4,2024-01-03,CFO,Yes,2024-02-19,2024-01-09,89,Project note for PR-2024-0073,9.0,15.0,13.0,15.0,3.0,3.0,9.0,9.0,15.0,13.0,15.0,3.0,3.0,58.0,12.0,19.0,22.0,15.0,8.0,6.0,82.0,10.0,12.0,20.0,11.0,6.0,7.0,5.0,13.0,16.0,9.0,8.0,6.0,7.0,6.0,6.0,6.0,0.0,0.0,,None,87,2024-03-02,11,28,No,Yes,Escalated - Priority project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0093,Cloud Services Subscription,Legal,John Smith,Team C,252240.52,38376.4,80745.6,84791.07,48327.44,RFP,On Hold,Supplier-630,C+,42.9,2024-01-02,CFO,Yes,2024-03-22,2024-01-12,95,Project note for PR-2024-0093,6.0,14.0,15.0,15.0,3.0,4.0,6.0,6.0,14.0,15.0,15.0,3.0,4.0,57.0,7.0,21.0,10.0,15.0,2.0,5.0,60.0,11.0,12.0,27.0,13.0,8.0,3.0,6.0,8.0,32.0,11.0,10.0,8.0,1.0,13.0,-22.0,4.0,-8.0,-3.0,,High,100,2024-02-05,24,26,No,No,Escalated - Priority project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0113,Equipment Purchase,R&D,Robert Taylor,Team E,146275.34,40332.07,45934.01,28015.75,31993.51,RFP,Approved,Supplier-289,A,31.9,2024-01-04,VP Operations,Yes,2024-02-05,2024-01-07,34,Project note for PR-2024-0113,7.0,10.0,12.0,5.0,4.0,5.0,7.0,7.0,10.0,12.0,5.0,4.0,5.0,43.0,7.0,9.0,16.0,5.0,9.0,8.0,54.0,10.0,7.0,17.0,11.0,10.0,8.0,11.0,20.0,17.0,13.0,6.0,7.0,-4.0,-11.0,-1.0,-8.0,3.0,1.0,,None,150,2024-01-25,8,42,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0115,Office Supplies,IT,David Wilson,Team D,171952.27,37414.64,48919.49,57300.1,28318.04,RFQ,On Hold,Supplier-916,A,22.8,2024-01-03,COO,No,2024-03-03,2024-01-06,110,Project note for PR-2024-0115,10.0,13.0,20.0,12.0,9.0,7.0,10.0,10.0,13.0,20.0,12.0,9.0,7.0,71.0,8.0,18.0,24.0,15.0,7.0,7.0,79.0,10.0,19.0,26.0,8.0,7.0,7.0,5.0,12.0,27.0,17.0,7.0,9.0,3.0,6.0,-3.0,-2.0,0.0,-2.0,,Medium,77,2024-02-23,8,45,No,No,Delayed - Resource allocation required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0125,Hardware Procurement,R&D,Lisa Anderson,Team A,289958.84,58026.35,69351.31,95484.16,67097.01,Tender,Under Review,Supplier-252,B+,72.2,2024-01-02,Director Procurement,Yes,2024-03-31,2024-01-03,115,Project note for PR-2024-0125,9.0,9.0,14.0,10.0,9.0,6.0,9.0,9.0,9.0,14.0,10.0,9.0,6.0,57.0,7.0,14.0,24.0,15.0,13.0,8.0,81.0,6.0,15.0,22.0,7.0,11.0,10.0,6.0,16.0,32.0,12.0,10.0,7.0,1.0,-2.0,-8.0,3.0,3.0,1.0,,None,132,2024-01-16,25,40,Yes,No,Approved - Proceed as planned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0139,Professional Services,Finance,Robert Taylor,Team C,383989.6,98212.15,112571.28,131651.89,41554.26,Tender,Cancelled,Supplier-275,C,92.1,2024-01-06,COO,No,2024-02-05,2024-01-08,57,Project note for PR-2024-0139,10.0,10.0,28.0,7.0,10.0,7.0,10.0,10.0,10.0,28.0,7.0,10.0,7.0,72.0,9.0,9.0,34.0,11.0,14.0,7.0,84.0,8.0,13.0,18.0,12.0,6.0,10.0,6.0,15.0,19.0,14.0,10.0,7.0,3.0,-6.0,15.0,-3.0,4.0,0.0,,None,172,2024-03-04,6,22,No,No,On track - No action needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0153,Equipment Purchase,IT,Michael Brown,Team F,62739.76,14742.76,10596.55,17703.34,19697.11,Tender,On Hold,Supplier-682,C,85.0,2024-01-04,VP Finance,No,2024-02-19,2024-01-14,40,Project note for PR-2024-0153,3.0,6.0,24.0,7.0,5.0,5.0,3.0,3.0,6.0,24.0,7.0,5.0,5.0,50.0,1.0,4.0,32.0,9.0,8.0,8.0,62.0,12.0,19.0,29.0,16.0,9.0,8.0,7.0,10.0,20.0,8.0,9.0,4.0,-6.0,-6.0,12.0,1.0,-1.0,4.0,,None,141,2024-02-27,5,20,No,Yes,Delayed - Resource allocation required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0161,Training Services,Sales,William Garcia,Team A,245776.45,52089.95,59103.06,53472.27,81111.17,RFQ,Approved,Supplier-486,C+,58.0,2024-01-06,CEO,Yes,2024-02-13,2024-01-09,94,Project note for PR-2024-0161,10.0,12.0,24.0,7.0,8.0,2.0,10.0,10.0,12.0,24.0,7.0,8.0,2.0,63.0,14.0,15.0,26.0,11.0,11.0,5.0,82.0,5.0,17.0,29.0,18.0,9.0,4.0,7.0,18.0,15.0,16.0,9.0,4.0,7.0,-3.0,11.0,-5.0,2.0,1.0,,Medium,173,2024-01-24,11,39,Yes,Yes,Under review - Additional information required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0167,Software License Renewal,Finance,John Smith,Team E,459190.06,103537.73,150622.03,132555.66,72474.64,Spot Buy,In Progress,Supplier-901,C+,30.2,2024-01-05,CEO,Yes,2024-02-07,2024-01-10,108,Project note for PR-2024-0167,9.0,6.0,13.0,15.0,3.0,6.0,9.0,9.0,6.0,13.0,15.0,3.0,6.0,52.0,7.0,7.0,20.0,19.0,2.0,9.0,64.0,11.0,10.0,34.0,17.0,5.0,10.0,11.0,14.0,28.0,16.0,6.0,8.0,-4.0,-7.0,-8.0,3.0,-4.0,1.0,,High,36,2024-02-18,21,30,Yes,Yes,Escalated - Priority project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
